Model,Branch,Sample_Count,Luminance_ms,Enhancement_ms,Detection_ms,Total_Pipeline_ms,Overall_FPS
YOLOv8n,A (Clean),28,1.2,0.0,37.5,38.71,25.83
YOLOv8n,B (Dusk),29,1.21,16.2,37.59,55.0,18.18
YOLOv8n,C (Severe),43,1.21,35.95,36.83,73.98,13.52
YOLOv12n,A (Clean),28,1.22,0.0,52.72,53.94,18.54
YOLOv12n,B (Dusk),29,1.2,13.23,52.35,66.78,14.97
YOLOv12n,C (Severe),43,1.21,33.83,52.38,87.42,11.44
RT-DETR,A (Clean),28,1.15,0.0,120.36,121.51,8.23
RT-DETR,B (Dusk),29,1.15,8.25,121.27,130.67,7.65
RT-DETR,C (Severe),43,1.15,27.32,120.9,149.37,6.69
Faster R-CNN,A (Clean),28,1.99,0.0,224.5,226.49,4.42
Faster R-CNN,B (Dusk),29,2.0,8.3,223.58,233.88,4.28
Faster R-CNN,C (Severe),43,1.99,38.5,222.0,262.49,3.81
